Source,Target,Timeval,Month
tensorflow,machine-learning,2022-01-01 04:12:57,01
tensorflow,keras,2022-01-01 04:12:57,01
tensorflow,computer-vision,2022-01-01 04:12:57,01
tensorflow,openvino,2022-01-01 04:12:57,01
machine-learning,keras,2022-01-01 04:12:57,01
machine-learning,computer-vision,2022-01-01 04:12:57,01
machine-learning,openvino,2022-01-01 04:12:57,01
keras,computer-vision,2022-01-01 04:12:57,01
keras,openvino,2022-01-01 04:12:57,01
computer-vision,openvino,2022-01-01 04:12:57,01
android,kotlin,2022-01-01 08:59:59,01
android,android-jetpack-compose,2022-01-01 08:59:59,01
android,android-jetpack-navigation,2022-01-01 08:59:59,01
android,android-jetpack-datastore,2022-01-01 08:59:59,01
kotlin,android-jetpack-compose,2022-01-01 08:59:59,01
kotlin,android-jetpack-navigation,2022-01-01 08:59:59,01
kotlin,android-jetpack-datastore,2022-01-01 08:59:59,01
android-jetpack-compose,android-jetpack-navigation,2022-01-01 08:59:59,01
android-jetpack-compose,android-jetpack-datastore,2022-01-01 08:59:59,01
android-jetpack-navigation,android-jetpack-datastore,2022-01-01 08:59:59,01
rust,match,2022-01-01 09:31:41,01
arrays,pointers,2022-01-01 09:54:24,01
arrays,fortran,2022-01-01 09:54:24,01
arrays,transfer,2022-01-01 09:54:24,01
arrays,equivalence,2022-01-01 09:54:24,01
pointers,fortran,2022-01-01 09:54:24,01
pointers,transfer,2022-01-01 09:54:24,01
pointers,equivalence,2022-01-01 09:54:24,01
fortran,transfer,2022-01-01 09:54:24,01
fortran,equivalence,2022-01-01 09:54:24,01
transfer,equivalence,2022-01-01 09:54:24,01
javascript,ruby-on-rails-7,2022-01-01 12:18:47,01
javascript,import-maps,2022-01-01 12:18:47,01
ruby-on-rails-7,import-maps,2022-01-01 12:18:47,01
c++,language-lawyer,2022-01-01 13:12:57,01
c++,c++20,2022-01-01 13:12:57,01
language-lawyer,c++20,2022-01-01 13:12:57,01
amazon-web-services,amazon-s3,2022-01-01 15:41:18,01
go,jetstream,2022-01-01 16:03:17,01
go,nats.io,2022-01-01 16:03:17,01
jetstream,nats.io,2022-01-01 16:03:17,01
javascript,reactjs,2022-01-01 16:25:52,01
javascript,react-router,2022-01-01 16:25:52,01
javascript,react-router-dom,2022-01-01 16:25:52,01
reactjs,react-router,2022-01-01 16:25:52,01
